scan	precursor.mass	retention.time	motif	probability	overlap	motifdb_url	motifdb_annotation
467	154.0863	63.045	mb_motif_150.m2m	0.12246624406488585	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
467	154.0863	63.045	gnps_motif_49.m2m	0.13676719990845318	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
687	154.1227	109.333	gnps_motif_17.m2m	0.2967500425876245	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
11687	154.9904	366.403	urine_mass2motif_18.m2m	0.12075739763065951	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
11371	154.9904	360.328	urine_mass2motif_18.m2m	0.13421025633867417	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
10953	154.9904	348.621	urine_mass2motif_18.m2m	0.12000177999308496	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
3497	155.0703	185.964	mb_motif_4.m2m	0.15234398866481091	0.5154670274616121	b'http://ms2lda.org/motifdb/motif/151183'	b'Loss of methyl group \xe2\x80\x93 indicative for presence of methoxy [O-CH3] methylsulfyl [S-CH3] or methylgroup connected to aromatic ring system'
2549	155.0704	166.226	mb_motif_4.m2m	0.1571323514198293	0.5154670274616121	b'http://ms2lda.org/motifdb/motif/151183'	b'Loss of methyl group \xe2\x80\x93 indicative for presence of methoxy [O-CH3] methylsulfyl [S-CH3] or methylgroup connected to aromatic ring system'
2218	155.0704	155.394	gnps_motif_49.m2m	0.19149737163500472	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
681	155.118	109.959	urine_mass2motif_229.m2m	0.28496086957138805	0.5595472328007807	b'http://ms2lda.org/motifdb/motif/150931'	b'Trimethylamine related'
1582	156.0111	146.948	urine_mass2motif_97.m2m	0.11163088603580663	0.3739178472460495	b'http://ms2lda.org/motifdb/motif/150888'	b'Paracetamol related'
3574	156.1384	187.157	gnps_motif_14.m2m	0.3262467420202158	0.9070567858354481	b'http://ms2lda.org/motifdb/motif/151017'	b'Aliphatic amine (NH3 loss indicates free NH2 group coupled to aliphatic chain)'
172	157.0496	32.615	gnps_motif_49.m2m	0.2629235399910897	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
327	157.0853	43.58	gnps_motif_49.m2m	0.2521231747952234	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
1105	157.086	129.441	gnps_motif_38.m2m	0.24342198071657586	0.966602373348389	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
488	157.086	66.34	gnps_motif_49.m2m	0.15760791201624857	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
4185	157.1225	200.717	gnps_motif_49.m2m	0.10799224185445969	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
9010	157.655	297.471	gnps_motif_12.m2m	0.17007477591225417	0.46080395979420224	b'http://ms2lda.org/motifdb/motif/151027'	b'Fragment ions indicative for C6H12NO substructure (in beer related to N-acetylputrescine - MzCloud)'
471	158.1176	62.004	gnps_motif_38.m2m	0.2517175789147735	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
1681	158.1177	148.524	gnps_motif_3.m2m	0.3276427637297062	0.9251936734707631	b'http://ms2lda.org/motifdb/motif/151029'	b'nitrogen containing substructure [C5H12N] (in beer related to Leucine)'
774	158.1177	119.448	mb_motif_14.m2m	0.10293944636000751	0.9429471108035999	b'http://ms2lda.org/motifdb/motif/151163'	b'Combination of small losses (i.e. NH3 and CH2O2)'
6682	158.154	244.23	gnps_motif_17.m2m	0.15560485507704025	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
12137	158.9615	375.934	urine_mass2motif_102.m2m	0.11236593320725662	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
12967	158.9615	393.766	urine_mass2motif_102.m2m	0.12343801879636121	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
12497	158.9615	383.926	urine_mass2motif_102.m2m	0.11371005484290106	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
12258	158.9615	379.364	urine_mass2motif_102.m2m	0.11613434395082253	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
11710	158.9615	366.931	urine_mass2motif_102.m2m	0.11316592409493667	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
13493	158.9615	407.835	urine_mass2motif_102.m2m	0.12411746513638214	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
8853	159.6011	289.546	urine_mass2motif_102.m2m	0.18783526494486968	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
180	160.097	31.983	gnps_motif_49.m2m	0.33622287999558403	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
180	160.097	31.983	urine_mass2motif_27.m2m	0.32171315541984025	0.7363646638384438	b'http://ms2lda.org/motifdb/motif/150874'	b'C5H10NO and C3H6N fragments - most likely N-methyl-morpholine substructure'
832	160.1333	118.238	gnps_motif_38.m2m	0.1813008007023401	0.966602373348389	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
12608	161.0597	387.767	gnps_motif_40.m2m	0.2451474335022779	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
1255	161.1324	137.64	mb_motif_10.m2m	0.1792210431601089	0.34797955833181904	b'http://ms2lda.org/motifdb/motif/151165'	b'Loss of C3H6 - indicative for the presence of an isopropyl group'
5680	163.0754	227.462	urine_mass2motif_163.m2m	0.26884621065806663	0.4419647298543785	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
944	163.0754	126.409	urine_mass2motif_163.m2m	0.12419761949071587	0.39015335720594535	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
5452	163.0754	224.834	urine_mass2motif_163.m2m	0.2694426958446276	0.4492959168190075	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
6076	163.1117	233.282	gnps_motif_17.m2m	0.24355173419949255	0.35599645594689333	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
6076	163.1117	233.282	urine_mass2motif_282.m2m	0.1262685052431589	0.3272309866434767	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
5518	163.1117	221.303	gnps_motif_17.m2m	0.18661353525248156	0.3469247001096655	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
1253	163.1117	137.571	gnps_motif_40.m2m	0.1055506127046866	0.8819069330029631	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
10348	163.1118	337.412	gnps_motif_17.m2m	0.252833669309247	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
8127	163.1118	273.501	urine_mass2motif_163.m2m	0.177252526136097	0.39015335720594535	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
10994	163.1119	350.181	gnps_motif_17.m2m	0.23032752319419125	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
10994	163.1119	350.181	urine_mass2motif_282.m2m	0.1340153470498089	0.3272309866434767	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
14368	163.1483	439.4	gnps_motif_17.m2m	0.10361347284278596	0.34673790474903177	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
382	163.5548	53.863	urine_mass2motif_163.m2m	0.16573372944655176	0.39015335720594535	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
600	165.0911	87.462	gnps_motif_40.m2m	0.1282546910479389	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
3114	165.0912	180.739	gnps_motif_38.m2m	0.1049168121113879	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
3114	165.0912	180.739	gnps_motif_21.m2m	0.13434386568069412	0.5529339381374945	b'http://ms2lda.org/motifdb/motif/151068'	b'Fragments indicative for ethylphenol substructure (i.e. resulting from Tyramine \xe2\x80\x93 MzCloud)'
97	166.0864	29.607	gnps_motif_38.m2m	0.34458773979643487	0.966602373348389	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
97	166.0864	29.607	gnps_motif_59.m2m	0.2524094538644664	0.680140706690718	b'http://ms2lda.org/motifdb/motif/151055'	b'Fragments indicative for [phenylalanine-CHOOH] based substructure'
13435	166.0976	411.436	mb_motif_150.m2m	0.17686764597654694	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
14191	166.0976	432.191	mb_motif_150.m2m	0.18312081480717154	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
14076	166.0977	429.48	mb_motif_150.m2m	0.1808063175992567	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
14001	166.0977	427.279	mb_motif_150.m2m	0.17359705096282282	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
4919	167.0704	212.87	urine_mass2motif_282.m2m	0.18986437642387274	0.37735696851899986	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
7321	167.0857	257.32	gnps_motif_6.m2m	0.4951255641090204	0.5267214000897089	b'http://ms2lda.org/motifdb/motif/151040'	b'Diphenyl substructure [ClassyFire; Relevant terms - Substituents: Diphenylmethane - Taxa: Diphenylmethanes]'
4509	167.0857	204.254	gnps_motif_6.m2m	0.3337258325646398	0.49917490699860434	b'http://ms2lda.org/motifdb/motif/151040'	b'Diphenyl substructure [ClassyFire; Relevant terms - Substituents: Diphenylmethane - Taxa: Diphenylmethanes]'
5667	167.0857	224.893	gnps_motif_6.m2m	0.26132092181376354	0.4991449405781042	b'http://ms2lda.org/motifdb/motif/151040'	b'Diphenyl substructure [ClassyFire; Relevant terms - Substituents: Diphenylmethane - Taxa: Diphenylmethanes]'
4197	167.0857	201.679	gnps_motif_6.m2m	0.4128070522264189	0.4991449405781042	b'http://ms2lda.org/motifdb/motif/151040'	b'Diphenyl substructure [ClassyFire; Relevant terms - Substituents: Diphenylmethane - Taxa: Diphenylmethanes]'
14403	169.0333	440.197	gnps_motif_13.m2m	0.14553226043262707	0.8795464948741217	b'http://ms2lda.org/motifdb/motif/151036'	b'Amine loss - Indicative for free NH2 group in fragmented molecule'
14324	169.0333	436.351	gnps_motif_13.m2m	0.3506756251987741	0.8795464948741217	b'http://ms2lda.org/motifdb/motif/151036'	b'Amine loss - Indicative for free NH2 group in fragmented molecule'
13424	169.0333	409.946	gnps_motif_13.m2m	0.3506756251987741	0.8795464948741217	b'http://ms2lda.org/motifdb/motif/151036'	b'Amine loss - Indicative for free NH2 group in fragmented molecule'
14747	169.0333	523.152	gnps_motif_13.m2m	0.29708046385766584	0.8795464948741215	b'http://ms2lda.org/motifdb/motif/151036'	b'Amine loss - Indicative for free NH2 group in fragmented molecule'
707	169.0496	113.538	gnps_motif_40.m2m	0.18752680479703918	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
3332	169.0497	183.167	mb_motif_150.m2m	0.1204771191863505	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
1002	169.086	126.625	gnps_motif_38.m2m	0.11186154605183692	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
1829	171.1017	151.732	gnps_motif_40.m2m	0.10479952984799326	0.8819069330029631	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
421	171.1131	58.283	urine_mass2motif_229.m2m	0.21364486471322947	0.5595472328007807	b'http://ms2lda.org/motifdb/motif/150931'	b'Trimethylamine related'
421	171.1131	58.283	urine_mass2motif_237.m2m	0.13538169709935674	0.6030500557869816	b'http://ms2lda.org/motifdb/motif/150950'	b'Proline betaine related'
11769	171.9931	367.297	urine_mass2motif_18.m2m	0.12352431178806307	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
4764	171.9931	208.007	urine_mass2motif_18.m2m	0.11705066398069373	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
12325	171.9932	380.311	urine_mass2motif_18.m2m	0.11310723918460659	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
12720	171.9932	387.1	urine_mass2motif_18.m2m	0.10080203644737078	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
4576	172.076	205.374	mb_motif_150.m2m	0.21283010746805883	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
619	172.0967	94.35	gnps_motif_14.m2m	0.248718667642092	0.9070567858354481	b'http://ms2lda.org/motifdb/motif/151017'	b'Aliphatic amine (NH3 loss indicates free NH2 group coupled to aliphatic chain)'
7557	172.1333	261.323	gnps_motif_43.m2m	0.12254659899166341	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
1347	172.1333	141.431	gnps_motif_43.m2m	0.10761519162859069	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
1787	172.1333	151.289	gnps_motif_43.m2m	0.1139376027759542	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
11301	172.1335	357.485	mb_motif_14.m2m	0.12135345912502749	0.9429471108035999	b'http://ms2lda.org/motifdb/motif/151163'	b'Combination of small losses (i.e. NH3 and CH2O2)'
2918	173.0597	174.49	gnps_motif_40.m2m	0.169869641135476	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
1722	173.0962	148.669	mb_motif_10.m2m	0.12797871450784673	0.347979558331819	b'http://ms2lda.org/motifdb/motif/151165'	b'Loss of C3H6 - indicative for the presence of an isopropyl group'
14124	173.1536	432.368	urine_mass2motif_159.m2m	0.21504784910058788	0.47032834097173903	b'http://ms2lda.org/motifdb/motif/150945'	b'C6H10O3 metabolite with C3H7O fragment - check - interesting!'
13452	173.1536	411.349	urine_mass2motif_159.m2m	0.24291921914341297	0.47032834097173903	b'http://ms2lda.org/motifdb/motif/150945'	b'C6H10O3 metabolite with C3H7O fragment - check - interesting!'
13907	173.1537	422.128	urine_mass2motif_159.m2m	0.15559026806055923	0.47032834097173903	b'http://ms2lda.org/motifdb/motif/150945'	b'C6H10O3 metabolite with C3H7O fragment - check - interesting!'
1364	174.149	141.159	gnps_motif_43.m2m	0.17439823525642872	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
13420	174.9571	409.274	urine_mass2motif_18.m2m	0.10124418678143568	0.8180457462316811	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
3727	175.0967	190.288	gnps_motif_49.m2m	0.11684427962499622	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
984	175.1118	127.321	gnps_motif_7.m2m	0.1263787754547663	0.9529110692879593	b'http://ms2lda.org/motifdb/motif/151013'	b'Small nitrogen containing fragment ion \xe2\x80\x93 often proline or ornithine derived \xe2\x80\x93 most abundant fragment in beer data'
6642	175.1118	242.931	urine_mass2motif_282.m2m	0.2665532546417125	0.37735696851899986	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
2994	175.1482	176.201	gnps_motif_17.m2m	0.10873687647181655	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
6104	175.1482	233.241	gnps_motif_17.m2m	0.16242540672183484	0.3458731533827182	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
3264	176.0709	180.989	gnps_motif_38.m2m	0.37287182017278964	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
4229	176.0709	200.655	gnps_motif_38.m2m	0.34409757231450544	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
4765	176.9722	207.72	urine_mass2motif_102.m2m	0.1739827090696963	0.6820231822544444	b'http://ms2lda.org/motifdb/motif/150992'	b'Unclear what it can be - 128.9533 fragment'
7595	177.0547	262.09	urine_mass2motif_282.m2m	0.34091988072939144	0.37735696851899986	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
1857	177.0911	152.34	gnps_motif_38.m2m	0.11165501654147118	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
2569	177.0911	167.207	urine_mass2motif_282.m2m	0.17211290164863594	0.3272309866434767	b'http://ms2lda.org/motifdb/motif/150984'	b'Quinidine related substructure?'
1559	177.1121	146.304	gnps_motif_15.m2m	0.26994721629469326	0.7078356607106718	b'http://ms2lda.org/motifdb/motif/151006'	b'Fragments indicative for y-aminobutyric acid (amimobutyrate) substructure (MzCloud) \xe2\x80\x93 present in Beer 2 & Beer 3 \xe2\x80\x93 in beer 3 mainly based on C4H7O2 fragment.'
7462	177.1275	260.203	mb_motif_10.m2m	0.15872705606841508	0.347979558331819	b'http://ms2lda.org/motifdb/motif/151165'	b'Loss of C3H6 - indicative for the presence of an isopropyl group'
3317	177.1486	182.686	urine_mass2motif_159.m2m	0.32201311107095304	0.47032834097173903	b'http://ms2lda.org/motifdb/motif/150945'	b'C6H10O3 metabolite with C3H7O fragment - check - interesting!'
7201	177.1639	256.9	gnps_motif_17.m2m	0.10857888964968018	0.34744912004878314	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
8768	177.1639	288.369	gnps_motif_17.m2m	0.11248001126708038	0.3468132681684498	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
7752	177.1639	263.962	gnps_motif_17.m2m	0.1398101339521218	0.34656220689659034	b'http://ms2lda.org/motifdb/motif/151009'	b'C4H8 loss indicative for saturated C4-alkyl substructure (often tert-butyl group or loss from 8 8-Trimethyl-2-oxo-9 10-dihydro-2H 8H-pyrano[2 3-f]chromen-5-yl substructure)'
9541	177.6013	312.294	urine_mass2motif_163.m2m	0.11527267841472798	0.39015335720594535	b'http://ms2lda.org/motifdb/motif/150879'	b'Benzoyl substructure (likely from N-benzoyl) related Mass2Motif'
656	178.0864	104.136	gnps_motif_43.m2m	0.1783445943708916	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
1812	178.0864	151.306	gnps_motif_38.m2m	0.3416675047134143	0.9666023733483893	b'http://ms2lda.org/motifdb/motif/151045'	b'Loss of CH2O2 - indicative for underivatized carboxilic acid group'
1812	178.0864	151.306	gnps_motif_33.m2m	0.2761612305840723	0.3083229738764953	b'http://ms2lda.org/motifdb/motif/151002'	b'tetrahydroisoquinoline substructure'
54	178.0899	31.575	gnps_motif_12.m2m	0.22582958972067022	0.46080395979420224	b'http://ms2lda.org/motifdb/motif/151027'	b'Fragment ions indicative for C6H12NO substructure (in beer related to N-acetylputrescine - MzCloud)'
54	178.0899	31.575	urine_mass2motif_212.m2m	0.31126766304840503	0.3917025745350688	b'http://ms2lda.org/motifdb/motif/150934'	b'Multiple cores - CH4SO loss among others'
11021	178.9908	353.638	urine_mass2motif_18.m2m	0.11289312485280407	0.8178874327725861	b'http://ms2lda.org/motifdb/motif/150885'	b'C2H3N loss - could be specific for a type of ring?'
12613	179.0703	387.628	gnps_motif_43.m2m	0.2530115936104804	0.8212876792340614	b'http://ms2lda.org/motifdb/motif/151021'	b'Water loss - indicative of a free hydroxyl group \xe2\x80\x93 (in beer often seen in sugary structures)'
5982	179.0703	228.827	gnps_motif_37.m2m	0.16730192992900872	0.7070993273897712	b'http://ms2lda.org/motifdb/motif/151065'	b'Fragments indicative for cinnamic/hydroxycinnamic acid substructure'
